"","CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","DISN","CHAPIS","CERR_CODE","TOGT","ROGT","COT","NOXT","SOXT","PMT","PM10T","year","address"
"231156",30,"SC",1744,"SC","KIRKHILL - TACOMPANY","300 E CYPRESS ST","BREA","92821",3069,"ORA","SOUTH COAST AQMD","","",13.1650431819142,12.7607159,0.51137,1.89697,0.0242662,1.1202,0.79489382,2012,"300 E CYPRESS ST,BREA, CA"
"231173",19,"SC",90847,"SC","KLUNE INDUSTRIES INC","7327-B COLDWATER CANYON AVE","NORTH HOLLYWOOD","91605",3724,"LA","SOUTH COAST AQMD","","",1.08025691594921,1.01868,0.18217,0.67665,0.00312,0.03910476133,0.0371892708768,2012,"7327-B COLDWATER CANYON AVE,NORTH HOLLYWOOD, CA"
"231178",36,"SC",40243,"SC","KMT OIL CO","HWY 71 NEAR EUCLID","CHINO","91710",9999,"SBD","SOUTH COAST AQMD","","",3.84383494966763,2.76756,0.07505,0.61417,0.00011,0.00712,0.00707728,2012,"HWY 71 NEAR EUCLID,CHINO, CA"
"231197",19,"SC",47866,"SC","KNUDTSON REFINISHING","15434 ARROW HWY","BALDWIN PARK","91706",2262,"LA","SOUTH COAST AQMD","","",0.355387519565252,0.22995,0,0,0,0,0,2012,"15434 ARROW HWY,BALDWIN PARK, CA"
"231198",19,"SC",57577,"SC","KOCH CARBON INC","PIER F BERTH 211","LONG BEACH","90802",9999,"LA","SOUTH COAST AQMD","","",0.126973084436303,0.097394368,0.59691,0.01545,0.00078,1.30641,1.109959,2012,"PIER F BERTH 211,LONG BEACH, CA"
"231211",36,"SC",60098,"SC","KORDEN INC.","611 S PALMETTO","ONTARIO","91762",3444,"SBD","SOUTH COAST AQMD","","",0.155567295385007,0.07626,0.06574,0.2442,0.00111,0.03127,0.0305824,2012,"611 S PALMETTO,ONTARIO, CA"
"231238",30,"SC",17168,"SC","KRYLER CORP","1217 E ASH AVE","FULLERTON","92831",3471,"ORA","SOUTH COAST AQMD","","",1.48291796274812,0.66447,0.00099,0.0037,1e-05,0.000619858,0.00055296368,2012,"1217 E ASH AVE,FULLERTON, CA"
"231249",19,"SC",118378,"SC","L 3 COMMUNICATIONS, POWER MAGNETICS","711 W KNOX ST","GARDENA","90248",8211,"LA","SOUTH COAST AQMD","","",6.33355650505172,6.25069,0.02327,0.08645,0.00039,0.07436,0.0711988,2012,"711 W KNOX ST,GARDENA, CA"
"231250",19,"SC",129855,"SC","L A CITY, BUREAU OF SANITATION","VARIOUS LOCATIONS IN SCAQMD","LAKE VIEW TERRACE","91342",9999,"LA","SOUTH COAST AQMD","","",0.03848,0.03848,0,0,0,0,0,2012,"VARIOUS LOCATIONS IN SCAQMD,LAKE VIEW TERRACE, CA"
"231251",19,"SC",15667,"SC","L A CO.,SANITATION DIST, COMPTON FIELD O","920 S ALAMEDA ST","COMPTON","90221",4959,"LA","SOUTH COAST AQMD","","",0.0962521337510258,0.0906666,0.35467,0.1009,0.00053105,0.00718,0.0070393,2012,"920 S ALAMEDA ST,COMPTON, CA"
